100000; 3992153
200000; 8387263
300000; 13150604
400000; 17578653
500000; 21947409
600000; 27521080
700000; 32157253
800000; 36764134
900000; 41378026
1000000; 45866604
100000; 3987767
200000; 8379732
300000; 13186786
400000; 17597866
500000; 21971075
600000; 27511993
700000; 32151442
800000; 36710947
900000; 41347660
1000000; 45888121
100000; 3988848
200000; 8376893
300000; 13184112
400000; 17559738
500000; 21997935
600000; 27527028
700000; 32144620
800000; 36696294
900000; 41340706
1000000; 45980862
