10000; 0.202
20000; 0.733
30000; 1.956
40000; 2.949
50000; 4.508
60000; 6.490
70000; 8.830
80000; 11.544
90000; 14.587
100000; 18.034
10000; 0.172
20000; 0.733
30000; 1.622
40000; 2.886
50000; 4.508
60000; 6.490
70000; 8.830
80000; 11.544
90000; 14.602
100000; 18.019
10000; 0.172
20000; 0.721
30000; 1.623
40000; 2.886
50000; 4.509
60000; 6.490
70000; 8.830
80000; 11.529
90000; 14.602
100000; 18.033
10000; 0.188
20000; 0.734
30000; 1.638
40000; 2.903
50000; 4.552
60000; 6.546
70000; 8.900
80000; 11.638
90000; 14.728
100000; 18.192
10000; 0.172
20000; 0.717
30000; 1.627
40000; 2.903
50000; 4.542
60000; 6.553
70000; 8.908
80000; 11.625
90000; 14.732
100000; 18.161
10000; 0.187
20000; 0.718
30000; 1.638
40000; 2.917
50000; 4.543
60000; 6.540
70000; 8.899
80000; 11.627
90000; 14.724
100000; 18.163
