100000; 0.016
200000; 0.031
300000; 0.047
400000; 0.079
500000; 0.094
600000; 0.109
700000; 0.142
800000; 0.156
900000; 0.172
1000000; 0.199
100000; 0.016
200000; 0.031
300000; 0.062
400000; 0.062
500000; 0.094
600000; 0.109
700000; 0.125
800000; 0.157
900000; 0.172
1000000; 0.187
100000; 0.016
200000; 0.031
300000; 0.062
400000; 0.063
500000; 0.078
600000; 0.109
700000; 0.125
800000; 0.156
900000; 0.171
1000000; 0.187
100000; 0.015
200000; 0.085
300000; 0.055
400000; 0.070
500000; 0.088
600000; 0.111
700000; 0.130
800000; 0.151
900000; 0.169
1000000; 0.186
100000; 0.016
200000; 0.033
300000; 0.053
400000; 0.069
500000; 0.089
600000; 0.112
700000; 0.130
800000; 0.149
900000; 0.167
1000000; 0.187
100000; 0.015
200000; 0.033
300000; 0.053
400000; 0.070
500000; 0.089
600000; 0.110
700000; 0.130
800000; 0.151
900000; 0.167
1000000; 0.188
