100000; 0.046
200000; 0.078
300000; 0.124
400000; 0.172
500000; 0.220
600000; 0.281
700000; 0.328
800000; 0.437
900000; 0.391
1000000; 0.546
100000; 0.048
200000; 0.094
300000; 0.125
400000; 0.188
500000; 0.234
600000; 0.281
700000; 0.327
800000; 0.406
900000; 0.421
1000000; 0.515
100000; 0.047
200000; 0.094
300000; 0.111
400000; 0.173
500000; 0.234
600000; 0.267
700000; 0.312
800000; 0.421
900000; 0.437
1000000; 0.530
100000; 0.038
200000; 0.083
300000; 0.203
400000; 0.194
500000; 0.251
600000; 0.285
700000; 0.334
800000; 0.394
900000; 0.420
1000000; 0.544
100000; 0.037
200000; 0.081
300000; 0.130
400000; 0.183
500000; 0.257
600000; 0.268
700000; 0.331
800000; 0.418
900000; 0.399
1000000; 0.571
100000; 0.038
200000; 0.085
300000; 0.127
400000; 0.183
500000; 0.238
600000; 0.279
700000; 0.330
800000; 0.396
900000; 0.417
1000000; 0.570
