100000; 3000045
200000; 6400047
300000; 10200053
400000; 13600049
500000; 17000051
600000; 21600055
700000; 25200057
800000; 28800051
900000; 32400061
1000000; 36000053
100000; 3000045
200000; 6400047
300000; 10200053
400000; 13600049
500000; 17000051
600000; 21600055
700000; 25200057
800000; 28800051
900000; 32400061
1000000; 36000053
100000; 3000045
200000; 6400047
300000; 10200053
400000; 13600049
500000; 17000051
600000; 21600055
700000; 25200057
800000; 28800051
900000; 32400061
1000000; 36000053
