10000; 49794930
20000; 200571863
30000; 448518664
40000; 794426642
50000; 1244195362
60000; 1799896904
70000; 2447682723
80000; 3199034607
90000; 4046069784
100000; 5005201100
10000; 50263618
20000; 199984181
30000; 449416742
40000; 797090134
50000; 1247477919
60000; 1799134918
70000; 2455088321
80000; 3194931183
90000; 4042742999
100000; 4975358114
10000; 50442876
20000; 198730206
30000; 448506396
40000; 801622705
50000; 1247739243
60000; 1797003135
70000; 2450859139
80000; 3195045370
90000; 4031695362
100000; 4996863650
