100000; 7081484
200000; 15401385
300000; 24326792
400000; 35386613
500000; 48446684
600000; 52657569
700000; 59059339
800000; 78577919
900000; 75251766
1000000; 95933407
100000; 6886370
200000; 15511424
300000; 24493498
400000; 34612209
500000; 46382569
600000; 50057943
700000; 60994512
800000; 79110483
900000; 76490313
1000000; 97377456
100000; 7001047
200000; 15963830
300000; 23329240
400000; 35320714
500000; 45618463
600000; 51265588
700000; 58996738
800000; 75206409
900000; 83920261
1000000; 97929465
