10000; 0.203
20000; 0.749
30000; 2.278
40000; 2.949
50000; 4.572
60000; 6.568
70000; 8.925
80000; 11.638
90000; 14.697
100000; 18.191
10000; 0.188
20000; 0.733
30000; 1.654
40000; 2.934
50000; 4.571
60000; 6.553
70000; 8.924
80000; 11.641
90000; 14.712
100000; 18.144
10000; 0.187
20000; 0.749
30000; 1.653
40000; 2.933
50000; 4.570
60000; 6.553
70000; 8.923
80000; 11.638
90000; 14.727
100000; 18.143
10000; 0.202
20000; 0.749
30000; 1.669
40000; 2.959
50000; 4.611
60000; 6.628
70000; 8.984
80000; 11.739
90000; 14.837
100000; 18.306
10000; 0.203
20000; 0.749
30000; 1.673
40000; 2.948
50000; 4.607
60000; 6.611
70000; 8.976
80000; 11.733
90000; 14.814
100000; 18.306
10000; 0.188
20000; 0.749
30000; 1.670
40000; 2.964
50000; 4.590
60000; 6.601
70000; 8.991
80000; 11.719
90000; 14.822
100000; 18.292
